,kraj,x,y,nazov
0,CZ010,50.0755,14.4378,Hlavní město Praha
1,CZ020,49.8782,14.9363,Středočeský kraj
2,CZ031,48.9458,14.4416,Jihočeský kraj
3,CZ032,49.4135,13.3157,Plzeňský kraj
4,CZ041,50.1435,12.7502,Karlovarský kraj
5,CZ042,50.6119,13.787,Ústecký kraj
6,CZ051,50.6594,14.7632,Liberecký kraj
7,CZ052,50.3512,15.7976,Královéhradecký kraj
8,CZ053,49.9444,16.2857,Pardubický kraj
9,CZ063,49.449,15.6406,Kraj Vysočina
10,CZ064,48.9545,16.7677,Jihomoravský kraj
11,CZ071,49.6587,17.0811,Olomoucký kraj
12,CZ072,49.2162,17.772000000000002,Zlínský kraj
13,CZ080,49.7305,18.2333,Moravskoslezský kraj
